Movie Name,Genre,has_woman_first_name,has_man_first_name,has_last_name,has_complete_woman_name,has_complete_man_name,names_found
063139,Fiction,False,False,False,False,False,[]
140 secondi,Fiction,False,False,False,False,False,[]
20 anni prima,Fiction,False,False,False,False,False,[]
5 Minuti Prima,Fiction,False,False,False,False,False,[]
A che punto è la notte,Fiction,False,False,False,False,False,[]
A come Andromeda,Fiction,False,False,False,False,False,[]
A muso duro - Campioni di vita,Fiction,False,False,False,False,False,[]
A.U.S. - Adotta Uno Studente,Fiction,False,False,False,False,False,[]
Abramo,Fiction,False,True,False,False,False,['Abramo']
Adesso tocca a me,Fiction,False,False,False,False,False,[]
Adriano Olivetti - La forza di un sogno,Fiction,False,True,True,False,True,['Adriano Olivetti']
"Aldo Moro, il Professore",Fiction,False,True,True,False,True,['Aldo Moro']
Alfredino - Una storia italiana,Fiction,False,True,False,False,False,['Alfredino']
Altri Tempi,Fiction,False,False,False,False,False,[]
Alì Babà e i 40 Ladroni,Fiction,False,True,True,False,True,['Alì Babà']
Amico mio,Fiction,False,False,False,False,False,[]
Anita Garibaldi ,Fiction,True,False,True,True,False,"['Anita', 'Garibaldi']"
Anna e Yusef,Fiction,True,True,False,False,False,"['Anna', 'Yusef']"
Anna Karenina - Lo sceneggiato,Fiction,True,False,True,True,False,"['Anna', 'Karenina', 'Anna Karenina']"
Aprite: polizia!,Fiction,False,False,False,False,False,[]
Arnoldo Mondadori - I libri per cambiare il mondo ,Fiction,False,True,True,False,True,['Arnoldo Mondadori']
Assunta Spina,Fiction,True,False,True,True,False,"['Assunta', 'Spina', 'Assunta Spina']"
Attentato al Papa,Fiction,False,False,False,False,False,[]
Atti degli apostoli,Fiction,False,False,False,False,False,[]
Augusto - Il primo imperatore,Fiction,False,True,False,False,False,['Augusto']
Baciato dal sole,Fiction,False,False,False,False,False,[]
Bangla - La serie,Fiction,False,False,False,False,False,[]
Barabba,Fiction,False,False,True,False,False,['Barabba']
Bella da morire,Fiction,True,False,False,False,False,['Bella']
Blackout - Vite sospese,Fiction,False,False,False,False,False,[]
Blanca,Fiction,True,False,False,False,False,['Blanca']
Boez,Fiction,False,False,True,False,False,['Boez']
Boris Giuliano - Un poliziotto a Palermo,Fiction,False,True,True,False,True,"['Boris', 'Giuliano', 'Boris Giuliano']"
Braccialetti rossi,Fiction,False,False,False,False,False,[]
Brancaccio,Fiction,False,False,True,False,False,['Brancaccio']
Brennero,Fiction,False,False,True,False,False,['Brennero']
Butta la Luna,Fiction,False,False,False,False,False,[]
C'era una volta Studio Uno,Fiction,False,False,False,False,False,[]
Cabala - Le vergini del fuoco,Fiction,False,False,False,False,False,[]
"Caccia all'uomo - Cesare Battisti, una vita in fuga",Fiction,False,True,True,False,True,['Cesare Battisti']
Califano,Fiction,False,False,True,False,False,['Califano']
Canne al vento - Lo sceneggiato,Fiction,False,False,False,False,False,[]
Capitan Fracassa,Fiction,False,False,True,False,False,['Fracassa']
Capri,Fiction,True,False,False,False,False,['Capri']
Caravaggio,Fiction,False,False,True,False,False,['Caravaggio']
Carla,Fiction,True,False,False,False,False,['Carla']
Carosello Carosone,Fiction,False,False,True,False,False,['Carosone']
Caruso - La voce dell'amore,Fiction,False,False,True,False,False,['Caruso']
Casa Cecilia,Fiction,True,False,False,False,False,['Cecilia']
Casa e bottega,Fiction,False,False,False,False,False,[]
Catturandi - Nel nome del padre,Fiction,False,False,False,False,False,[]
Cenerentola (2011),Fiction,False,False,False,False,False,[]
Cesare Mori - Il prefetto di ferro,Fiction,False,True,True,False,True,['Cesare Mori']
Che Dio ci aiuti,Fiction,False,False,False,False,False,[]
Chiamami ancora amore,Fiction,False,False,False,False,False,[]
Chiara e Francesco,Fiction,True,True,False,False,False,"['Chiara', 'Francesco']"
Chiara Lubich - L'amore vince tutto,Fiction,True,False,True,True,False,"['Chiara', 'Lubich', 'Chiara Lubich']"
Cinema!!!,Fiction,False,False,False,False,False,[]
Coco Chanel,Fiction,True,False,True,True,False,"['Coco', 'Chanel']"
Com'è umano lui,Fiction,False,False,False,False,False,[]
Come diventare popolari a scuola,Fiction,False,False,False,False,False,[]
Come fai sbagli,Fiction,False,False,False,False,False,[]
Come sopravvivere a una sorella strxxxa,Fiction,False,False,False,False,False,[]
Come stanno bene insieme,Fiction,False,False,False,False,False,[]
Come una madre,Fiction,False,False,False,False,False,[]
Commesse,Fiction,False,False,False,False,False,[]
Compagni di Scuola,Fiction,False,False,False,False,False,[]
Con il sole negli occhi,Fiction,False,False,False,False,False,[]
Confusi,Fiction,False,False,False,False,False,[]
Corpo libero,Fiction,False,False,False,False,False,[]
Crazy for football - Matti per il calcio,Fiction,False,False,False,False,False,[]
Crimini,Fiction,False,False,False,False,False,[]
Cristo si è fermato a Eboli,Fiction,False,False,False,False,False,['Cristo']
Cuore,Fiction,False,False,False,False,False,[]
Cuori,Fiction,False,False,False,False,False,[]
David Copperfield,Fiction,False,True,True,False,True,['David Copperfield']
David Copperfield (2009),Fiction,False,True,True,False,True,['David Copperfield']
Davide,Fiction,False,True,False,False,False,['Davide']
De Gasperi - L'uomo della speranza,Fiction,False,False,True,False,False,['De Gasperi']
Delitto e castigo,Fiction,False,False,False,False,False,[]
Di padre in figlia,Fiction,False,False,False,False,False,[]
Diario di un maestro,Fiction,False,False,False,False,False,[]
Doc - Nelle tue mani,Fiction,False,False,False,False,False,[]
Don Bosco (2004),Fiction,False,True,True,False,True,['Don Bosco']
Don Giovanni in Sicilia,Fiction,False,True,False,False,False,['Giovanni']
Don Luigi Sturzo,Fiction,False,True,True,False,True,"['Luigi', 'Sturzo']"
Don Matteo,Fiction,False,True,True,False,True,"['Don', 'Matteo']"
Donna Detective,Fiction,True,False,False,False,False,['Donna']
Dov'è Anna?,Fiction,True,False,False,False,False,['Anna']
Due soldati,Fiction,False,False,False,False,False,[]
Duisburg - Linea di sangue,Fiction,False,False,False,False,False,[]
Einstein,Fiction,False,False,True,False,False,['Einstein']
Eleonora Duse,Fiction,True,False,True,True,False,"['Eleonora', 'Duse']"
Eneide,Fiction,False,False,False,False,False,[]
Enrico Piaggio. Un sogno italiano,Fiction,False,True,True,False,True,['Enrico Piaggio']
Eppure cadiamo felici,Fiction,False,False,False,False,False,[]
Eroi per Caso,Fiction,False,False,False,False,False,[]
ESP,Fiction,False,False,False,False,False,[]
Ester,Fiction,True,False,False,False,False,['Ester']
Esterno notte,Fiction,False,False,False,False,False,[]
Fabrizio De André - Principe libero,Fiction,False,True,True,False,True,"['Fabrizio', 'De André', 'Fabrizio De André']"
Felicia Impastato,Fiction,True,False,True,True,False,"['Felicia', 'Impastato']"
Felipe ha gli occhi azzurri,Fiction,False,True,False,False,False,['Felipe']
Fernanda,Fiction,True,False,False,False,False,['Fernanda']
Figli del destino,Fiction,False,False,False,False,False,[]
Filumena Marturano (2022),Fiction,True,False,True,True,False,['Filumena Marturano']
Fino all'ultimo battito,Fiction,False,False,False,False,False,[]
Flash,Fiction,False,False,False,False,False,[]
Flipper,Fiction,False,False,False,False,False,[]
Folle d'amore - Alda Merini,Fiction,True,False,True,True,False,"['Alda', 'Merini', 'Alda Merini']"
Fracchia - La serie,Fiction,False,False,True,False,False,['Fracchia']
Francesco (miniserie),Fiction,False,True,False,False,False,['Francesco']
Francesco di Assisi,Fiction,False,True,False,False,False,['Francesco']
Fuoriclasse,Fiction,False,False,False,False,False,[]
Fuoriclasse Off,Fiction,False,False,False,False,False,[]
"Genesi, Creazione e Diluvio",Fiction,False,False,False,False,False,[]
Genitori vs figli,Fiction,False,False,False,False,False,[]
Geremia,Fiction,False,True,False,False,False,['Geremia']
Germinal,Fiction,False,False,False,False,False,[]
Gesù di Nazareth,Fiction,False,True,False,False,False,['Gesù']
Giacobbe,Fiction,False,True,False,False,False,['Giacobbe']
Giallo club - Il tenente Sheridan,Fiction,False,False,True,False,False,['Sheridan']
Gino Bartali: l'intramontabile,Fiction,False,True,True,False,True,"['Gino', 'Bartali', 'Gino Bartali']"
Giorgio Albertazzi - Jekyll,Fiction,False,True,True,False,True,"['Giorgio', 'Albertazzi']"
Giorgio Ambrosoli - Il prezzo del coraggio ,Fiction,False,True,True,False,True,"['Giorgio', 'Ambrosoli', 'Giorgio Ambrosoli']"
